source,target,relation
"""4:964ea883-2693-4303-b60b-a2ba95416a01:12""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1148""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:12""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1344""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:12""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1349""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:12""","""4:964ea883-2693-4303-b60b-a2ba95416a01:13""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:14""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1328""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:14""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1323""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:14""","""4:964ea883-2693-4303-b60b-a2ba95416a01:986""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:15""","""4:964ea883-2693-4303-b60b-a2ba95416a01:864""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:16""","""4:964ea883-2693-4303-b60b-a2ba95416a01:17""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:933""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1022""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1120""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:669""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:927""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:762""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1008""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:932""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1138""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:953""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1395""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1290""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:845""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:940""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:18""","""4:964ea883-2693-4303-b60b-a2ba95416a01:879""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:19""","""4:964ea883-2693-4303-b60b-a2ba95416a01:479""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:19""","""4:964ea883-2693-4303-b60b-a2ba95416a01:499""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:19""","""4:964ea883-2693-4303-b60b-a2ba95416a01:951""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:19""","""4:964ea883-2693-4303-b60b-a2ba95416a01:20""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:21""","""4:964ea883-2693-4303-b60b-a2ba95416a01:499""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:21""","""4:964ea883-2693-4303-b60b-a2ba95416a01:479""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:21""","""4:964ea883-2693-4303-b60b-a2ba95416a01:20""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:22""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1186""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1379""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:68""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1028""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:810""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1170""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:722""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1372""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1271""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:97""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1113""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1099""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1212""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1374""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:872""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1375""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:948""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:54""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:910""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1127""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:324""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:867""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:857""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:860""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:807""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1052""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:954""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1416""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1053""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1281""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:826""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1030""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:348""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:147""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1268""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1345""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:723""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:79""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:764""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1277""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1232""","""CAPEC_TO_TECHNIQUE"""
